collection,category,validation_status,error_type
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
knit,니트,success,
coat,코트,success,
coat,코트,success,
coat,코트,success,
coat,코트,success,
coat,코트,success,
coat,코트,success,
coat,코트,success,
coat,코트,success,
coat,코트,success,
coat,코트,success,
coat,코트,success,
coat,코트,success,
coat,코트,different_image,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,different_image,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
pants_etc,바지,success,
